"Source:","/home/luca/projects/varcolan_sv/03_hardware/interface/interface.sch"
"Date:","Mon 14 Nov 2016 12:14:57 PM CET"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","NOT_MOUNT","Product","Saet_code"
"","","BT1","Battery","device:Battery","saet:BatteryHolderCR2032","","X","",""
"","","C1","100n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C2","12p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C3","12p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C4","100n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C5","100n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C6","0.33F","saet:0.33F","saet:SUPER_CAP","","","EECS0HD334V","CV1476"
"","","C7","100n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C8","22u/20V","device:CP","Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Wave","","","T491C226K020AT","CV0226"
"","","C9","22u/20V","device:CP","Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Wave","","","T491C226K020AT","CV0226"
"","","C10","470n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C11","10p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C12","470p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C13","100n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C14","1n","device:C","Capacitors_SMD:C_0603","","","",""
"","","C15","470p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C16","10p","device:C","Capacitors_SMD:C_0603","","","",""
"","","C17","0.47u","device:C","Capacitors_SMD:C_0603","","","",""
"","","C18","22u/20V","device:CP","Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Wave","","","T491C226K020AT","CV0226"
"","","COM_A1","WURTH_90","saet:WURTH_90","saet:Wurth_90_deg_2ways","","","COM02-9M1","WK2320"
"","","COM_B1","WURTH_90","saet:WURTH_90","saet:Wurth_90_deg_2ways","","","COM02-9M1","WK2320"
"","","D1","LED_R_0603","saet:LED_R_0603","saet:LED-0603_handSoldering","","","KP-1608SURCK","LE7010"
"","","D2","LED_R_0603","saet:LED_R_0603","saet:LED-0603_handSoldering","","","KP-1608SURCK","LE7010"
"","","D3","LED_R_0603","saet:LED_R_0603","saet:LED-0603_handSoldering","","","KP-1608SURCK","LE7010"
"","","D4","PMEG4005AEA","saet:PMEG4005AEA","saet:SOD-323","","","PMEG4005AEA","DSG4005"
"","","D5","B360A","saet:B360A","saet:SMA_Standard","","","B360A-13-F","DSB360A"
"","","D6","B360A","saet:B360A","saet:SMA_Standard","","","B360A-13-F","DSB360A"
"","","D7","PMEG4005AEA","saet:PMEG4005AEA","saet:SOD-323","","","PMEG4005AEA","DSG4005"
"","","HL1","Hole","saet:Hole","saet:HOLE_3.2","","","",""
"","","HL2","Hole","saet:Hole","saet:HOLE_3.2","","","",""
"","","IC1","SN65HVD11D","saet:SN65HVD","saet:SOIC-8","","","SN65HVD11D","IL1138"
"","","JP1","JUMPER","device:JUMPER","Pin_Headers:Pin_Header_Straight_1x02","","","",""
"","","L1","INDUCTOR_3.3uH","saet:INDUCTOR_3.3uH","saet:IND_7.5x7.5","",""," 744 778 003","TB3020"
"","","L2","INDUCTOR_3.3uH","saet:INDUCTOR_3.3uH","saet:IND_7.5x7.5","",""," 744 778 003","TB3020"
"","","P1","TP","saet:TP","saet:Test_point","","","",""
"","","P2","CONN_01X04","conn:CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","X","",""
"","","P3","CONN_02X20","conn:CONN_02X20","Pin_Headers:Pin_Header_Straight_2x20","","","",""
"","","P4","CONN_01X02","conn:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","X","",""
"","","Q1","RJU003N","saet:RJU003N","saet:SOT-323_inv","","","RJU003N03T106","QT3134"
"","","Q2","RJU003N","saet:RJU003N","saet:SOT-323_inv","","","RJU003N03T106","QT3134"
"","","Q3","RJU003N","saet:RJU003N","saet:SOT-323_inv","","","RJU003N03T106","QT3134"
"","","Q4","RJU003N","saet:RJU003N","saet:SOT-323_inv","","","RJU003N03T106","QT3134"
"","","R1","0","device:R","saet:R_0603","","","",""
"","","R2","10k","device:R","saet:R_0603","","","",""
"","","R3","1k","device:R","saet:R_0603","","","",""
"","","R4","10k","device:R","saet:R_0603","","","",""
"","","R5","0","device:R","saet:R_0603","","X","",""
"","","R6","510","device:R","saet:R_0603","","","",""
"","","R7","1k","device:R","saet:R_0603","","","",""
"","","R8","510","device:R","saet:R_0603","","","",""
"","","R9","10","device:R","saet:R_0603","","","",""
"","","R10","10","device:R","saet:R_0603","","","",""
"","","R11","1k","device:R","saet:R_0603","","","",""
"","","R12","120","device:R","saet:R_0603","","","",""
"","","R13","510","device:R","saet:R_0603","","","",""
"","","R14","16.9k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R15","7.68k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R16","40.2k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R17","7.68k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R18","40.2k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R19","30.1k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R20","40.2k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R21","23.7k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R22","7.68k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"","","R23","0","device:R","saet:R_0603","","X","",""
"","","R24","1k","device:R","saet:R_0603","","","",""
"","","U1","DS1302S","maxim:DS1302","Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm","","","","IT001"
"","","U3","LT3501","saet:LT3501","saet:SSOP-20_TP_4.4x6.5mm_Pitch0.65mm","","","LT3501IFE#TRPBF","IL1186"
"","","X1","JXS_32k","saet:JXS_32k","saet:JXS_3.2mm_1.5mm","","","Q0.032768-JTX310-12.5-20-T1-LF","YQ1323B"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","NOT_MOUNT","Product","Saet_code"
"1","1","BT1","Battery","device:Battery","saet:BatteryHolderCR2032","","X","",""
"2","5","C1, C4, C5, C7, C13","100n","device:C","Capacitors_SMD:C_0603","","","",""
"3","2","C2, C3","12p","device:C","Capacitors_SMD:C_0603","","","",""
"4","1","C6","0.33F","saet:0.33F","saet:SUPER_CAP","","","EECS0HD334V","CV1476"
"5","3","C8, C9, C18","22u/20V","device:CP","Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_Wave","","","T491C226K020AT","CV0226"
"6","1","C10","470n","device:C","Capacitors_SMD:C_0603","","","",""
"7","2","C11, C16","10p","device:C","Capacitors_SMD:C_0603","","","",""
"8","2","C12, C15","470p","device:C","Capacitors_SMD:C_0603","","","",""
"9","1","C14","1n","device:C","Capacitors_SMD:C_0603","","","",""
"10","1","C17","0.47u","device:C","Capacitors_SMD:C_0603","","","",""
"11","2","COM_A1, COM_B1","WURTH_90","saet:WURTH_90","saet:Wurth_90_deg_2ways","","","COM02-9M1","WK2320"
"12","3","D1, D2, D3","LED_R_0603","saet:LED_R_0603","saet:LED-0603_handSoldering","","","KP-1608SURCK","LE7010"
"13","2","D4, D7","PMEG4005AEA","saet:PMEG4005AEA","saet:SOD-323","","","PMEG4005AEA","DSG4005"
"14","2","D5, D6","B360A","saet:B360A","saet:SMA_Standard","","","B360A-13-F","DSB360A"
"15","2","HL1, HL2","Hole","saet:Hole","saet:HOLE_3.2","","","",""
"16","1","IC1","SN65HVD11D","saet:SN65HVD","saet:SOIC-8","","","SN65HVD11D","IL1138"
"17","1","JP1","JUMPER","device:JUMPER","Pin_Headers:Pin_Header_Straight_1x02","","","",""
"18","2","L1, L2","INDUCTOR_3.3uH","saet:INDUCTOR_3.3uH","saet:IND_7.5x7.5","",""," 744 778 003","TB3020"
"19","1","P1","TP","saet:TP","saet:Test_point","","","",""
"20","1","P2","CONN_01X04","conn:CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","X","",""
"21","1","P3","CONN_02X20","conn:CONN_02X20","Pin_Headers:Pin_Header_Straight_2x20","","","",""
"22","1","P4","CONN_01X02","conn:CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","X","",""
"23","4","Q1, Q2, Q3, Q4","RJU003N","saet:RJU003N","saet:SOT-323_inv","","","RJU003N03T106","QT3134"
"24","3","R1, R5, R23","0","device:R","saet:R_0603","","X","",""
"25","2","R2, R4","10k","device:R","saet:R_0603","","","",""
"26","4","R3, R7, R11, R24","1k","device:R","saet:R_0603","","","",""
"27","3","R6, R8, R13","510","device:R","saet:R_0603","","","",""
"28","2","R9, R10","10","device:R","saet:R_0603","","","",""
"29","1","R12","120","device:R","saet:R_0603","","","",""
"30","1","R14","16.9k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"31","3","R15, R17, R22","7.68k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"32","3","R16, R18, R20","40.2k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"33","1","R19","30.1k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"34","1","R21","23.7k","saet:R-EU","Resistors_SMD:R_0603","","","",""
"35","1","U1","DS1302S","maxim:DS1302","Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm","","","","IT001"
"36","1","U3","LT3501","saet:LT3501","saet:SSOP-20_TP_4.4x6.5mm_Pitch0.65mm","","","LT3501IFE#TRPBF","IL1186"
"37","1","X1","JXS_32k","saet:JXS_32k","saet:JXS_3.2mm_1.5mm","","","Q0.032768-JTX310-12.5-20-T1-LF","YQ1323B"
